,TK_WITH,TK_PARAMETERS,TK_END,TK_WHILE,TK_UNION,TK_ENDUNION,TK_DEFINETYPE,TK_AS,TK_TYPE,TK_GLOBAL,TK_PARAMETER,TK_LIST,TK_INPUT,TK_OUTPUT,TK_INT,TK_REAL,TK_ENDWHILE,TK_IF,TK_THEN,TK_ENDIF,TK_READ,TK_WRITE,TK_RETURN,TK_CALL,TK_RECORD,TK_ENDRECORD,TK_ELSE,TK_ASSIGNOP,TK_COMMENT,TK_FIELDID,TK_ID,TK_NUM,TK_RNUM,TK_FUNID,TK_RUID,TK_MAIN,TK_SQL,TK_SQR,TK_COMMA,TK_SEM,TK_COLON,TK_DOT,TK_OP,TK_CL,TK_PLUS,TK_MINUS,TK_MUL,TK_DIV,TK_AND,TK_OR,TK_NOT,TK_LT,TK_LE,TK_EQ,TK_GT,TK_GE,TK_NE,TK_EOF,
<program>,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,
<mainFunction>,Error,Error,<mainFunction> ===>  TK_MAIN  <stmts>  TK_END ,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,<mainFunction> ===>  TK_MAIN  <stmts>  TK_END ,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,
<otherFunctions>,<otherFunctions> ===>  epsilon ,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,
<function>,Error,Error,<function> ===>  TK_FUNID  <input_par>  <output_par>  TK_SEM  <stmts>  TK_END ,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,<function> ===>  TK_FUNID  <input_par>  <output_par>  TK_SEM  <stmts>  TK_END ,Error,Error,Error,Error,Error,<function> ===>  TK_FUNID  <input_par>  <output_par>  TK_SEM  <stmts>  TK_END ,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,
<input_par>,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,<input_par> ===>  TK_INPUT  TK_PARAMETER  TK_LIST  TK_SQL  <parameter_list>  TK_SQR ,<input_par> ===>  TK_INPUT  TK_PARAMETER  TK_LIST  TK_SQL  <parameter_list>  TK_SQR ,<input_par> ===>  TK_INPUT  TK_PARAMETER  TK_LIST  TK_SQL  <parameter_list>  TK_SQR ,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,<input_par> ===>  TK_INPUT  TK_PARAMETER  TK_LIST  TK_SQL  <parameter_list>  TK_SQR ,<input_par> ===>  TK_INPUT  TK_PARAMETER  TK_LIST  TK_SQL  <parameter_list>  TK_SQR ,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,
<output_par>,<output_par> ===>  epsilon ,Error,Error,Error,Error,Error,Error,Error,Error,Error,<output_par> ===>  TK_OUTPUT  TK_PARAMETER  TK_LIST  TK_SQL  <parameter_list>  TK_SQR ,<output_par> ===>  TK_OUTPUT  TK_PARAMETER  TK_LIST  TK_SQL  <parameter_list>  TK_SQR ,Error,<output_par> ===>  TK_OUTPUT  TK_PARAMETER  TK_LIST  TK_SQL  <parameter_list>  TK_SQR ,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,<output_par> ===>  TK_OUTPUT  TK_PARAMETER  TK_LIST  TK_SQL  <parameter_list>  TK_SQR ,<output_par> ===>  TK_OUTPUT  TK_PARAMETER  TK_LIST  TK_SQL  <parameter_list>  TK_SQR ,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,
<parameter_list>,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,<parameter_list> ===>  <dataType>  TK_ID  <remaining_list> ,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,
<dataType>,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,
<primitiveDatatype>,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,<primitiveDatatype> ===>  TK_INT ,<primitiveDatatype> ===>  TK_REAL ,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,
<constructedDatatype>,Error,Error,Error,Error,<constructedDatatype> ===>  TK_UNION  TK_RUID ,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,<constructedDatatype> ===>  TK_RECORD  TK_RUID ,Error,Error,Error,Error,Error,Error,Error,Error,Error,<constructedDatatype> ===>  TK_RUID ,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,
